wavelength	flux	error
4207.000000	0.921797	0.000000
4207.500000	0.885845	0.000000
4208.000000	0.898292	0.000000
4208.500000	0.910101	0.000000
4209.000000	0.912892	0.000000
4209.500000	0.914952	0.000000
4210.000000	0.912041	0.000000
4210.500000	0.910352	0.000000
4211.000000	0.913911	0.000000
4211.500000	0.923568	0.000000
4212.000000	0.951525	0.000000
4212.500000	0.964333	0.000000
4213.000000	0.943463	0.000000
4213.500000	0.931112	0.000000
4214.000000	0.933271	0.000000
4214.500000	0.939333	0.000000
4215.000000	0.950579	0.000000
4215.500000	0.955732	0.000000
4216.000000	0.954519	0.000000
4216.500000	0.955148	0.000000
4217.000000	0.957355	0.000000
4217.500000	0.953470	0.000000
4218.000000	0.945678	0.000000
4218.500000	0.940581	0.000000
4219.000000	0.936892	0.000000
4219.500000	0.929027	0.000000
4220.000000	0.919519	0.000000
4220.500000	0.911087	0.000000
4221.000000	0.902900	0.000000
4221.500000	0.928678	0.000000
4222.000000	0.961242	0.000000
4222.500000	0.944346	0.000000
4223.000000	0.921059	0.000000
4223.500000	0.928403	0.000000
4224.000000	0.937390	0.000000
4224.500000	0.937186	0.000000
4225.000000	0.936347	0.000000
4225.500000	0.926964	0.000000
4226.000000	0.918313	0.000000
4226.500000	0.916638	0.000000
4227.000000	0.919908	0.000000
4227.500000	0.949146	0.000000
4228.000000	0.975605	0.000000
4228.500000	0.992155	0.000000
4229.000000	1.000186	0.000000
4229.500000	0.985087	0.000000
4230.000000	0.972229	0.000000
4230.500000	0.964152	0.000000
4231.000000	0.959484	0.000000
4231.500000	0.960568	0.000000
4232.000000	0.969342	0.000000
4232.500000	0.988573	0.000000
4233.000000	0.986115	0.000000
4233.500000	0.959661	0.000000
4234.000000	0.941003	0.000000
4234.500000	0.929391	0.000000
4235.000000	0.951452	0.000000
4235.500000	0.998384	0.000000
4236.000000	0.994871	0.000000
4236.500000	0.961081	0.000000
4237.000000	0.928239	0.000000
4237.500000	0.895859	0.000000
4238.000000	0.908098	0.000000
4238.500000	0.937473	0.000000
4239.000000	0.933186	0.000000
4239.500000	0.918904	0.000000
